HMDB,a.mode,metabolite,Symbol,Uniprot,type(a),ProtName,pubchem,CellLoc,TissueLoc,BSLoc,metabolite_subclass,a.combined_score,a.experiment,a.database,a.prediction,a.textmining
"""HMDB0001341""","""inhibition""","""ADP""","""IFNGR2""","""uniprot:P38484""","""StitchMetaboliteReceptor""",null,6022,"[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Mitochondria"", ""Nucleus"", ""Peroxisome""]","[""All Tissues""]","[""Blood"", ""Cellular Cytoplasm"", ""Cerebrospinal Fluid (CSF)"", ""Saliva"", ""Urine""]","""Purine ribonucleotides""",900,0,0,900,0
"""HMDB0000538""","""binding""","""Adenosine triphosphate""","""RIGI""","""uniprot:O95786""","""StitchMetaboliteReceptor""",null,5957,"[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Mitochondria"", ""Nucleus"", ""Peroxisome""]","[""Adipose Tissue"", ""Bladder"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Platelet"", ""Skeletal Muscle""]","[""Blood"", ""Cellular Cytoplasm"", ""Cerebrospinal Fluid (CSF)"", ""Saliva""]","""Purine ribonucleotides""",985,0,800,900,321
"""HMDB0001341""","""binding""","""ADP""","""RIGI""","""uniprot:O95786""","""StitchMetaboliteReceptor""",null,6022,"[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Mitochondria"", ""Nucleus"", ""Peroxisome""]","[""All Tissues""]","[""Blood"", ""Cellular Cytoplasm"", ""Cerebrospinal Fluid (CSF)"", ""Saliva"", ""Urine""]","""Purine ribonucleotides""",962,0,800,800,117
"""HMDB0001273""","""binding""","""Guanosine triphosphate""","""RIGI""","""uniprot:O95786""","""StitchMetaboliteReceptor""",null,6830,"[""Cytoplasm"", ""Extracellular"", ""Mitochondria"", ""Nucleus""]","[""Neuron"", ""Placenta"", ""Platelet"", ""Testis""]","[""Blood"", ""Cerebrospinal Fluid (CSF)""]","""Purine ribonucleotides""",818,0,800,0,119
"""HMDB0001201""","""binding""","""Guanosine diphosphate""","""RIGI""","""uniprot:O95786""","""StitchMetaboliteReceptor""",null,8977,"[""Cytoplasm"", ""Extracellular"", ""Golgi apparatus"", ""Mitochondria"", ""Nucleus""]",null,"[""Blood"", ""Cerebrospinal Fluid (CSF)""]","""Purine ribonucleotides""",800,0,800,0,0
"""HMDB0037790""","""binding""","""Polyethylene glycol""","""RIGI""","""uniprot:O95786""","""StitchMetaboliteReceptor""",null,174,"[""Cytoplasm"", ""Extracellular""]",null,"[""Saliva""]","""Alcohols and polyols""",795,0,795,0,0
"""HMDB0000464""","""binding""","""Calcium""","""RIGI""","""uniprot:O95786""","""StitchMetaboliteReceptor""",null,271,"[""Extracellular""]",null,"[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Saliva"", ""Urine""]",null,297,0,297,0,0
"""HMDB0000492""","""binding""","""Chloride ion""","""RIGI""","""uniprot:O95786""","""StitchMetaboliteReceptor""",null,312,"[""Cytoplasm"", ""Extracellular""]","[""All Tissues""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Saliva"", ""Sweat"", ""Urine""]",null,814,0,800,0,100
"""HMDB0001448""","""binding""","""Sulfate""","""RIGI""","""uniprot:O95786""","""StitchMetaboliteReceptor""",null,1117,"[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Lysosome"", ""Mitochondria""]","[""Placenta""]","[""Blood"", ""Feces"", ""Saliva"", ""Sweat"", ""Urine""]","""Non-metal sulfates""",800,0,800,0,0
"""HMDB0000538""","""inhibition""","""Adenosine triphosphate""","""RIGI""","""uniprot:O95786""","""StitchMetaboliteReceptor""",null,5957,"[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Mitochondria"", ""Nucleus"", ""Peroxisome""]","[""Adipose Tissue"", ""Bladder"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Platelet"", ""Skeletal Muscle""]","[""Blood"", ""Cellular Cytoplasm"", ""Cerebrospinal Fluid (CSF)"", ""Saliva""]","""Purine ribonucleotides""",985,0,800,900,321
"""HMDB0001852""","""activation""","""all-trans-Retinoic acid""","""RIGI""","""uniprot:O95786""","""StitchMetaboliteReceptor""",null,444795,"[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Membrane"", ""Nucleus""]","[""Adipose Tissue"", ""Adrenal Cortex"", ""Adrenal Gland"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Liver"", ""Lung"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Spleen"", ""Testis""]","[""Blood"", ""Urine""]","""Retinoids""",906,0,0,150,893
"""HMDB0000273""","""binding""","""Thymidine""","""CCR9""","""uniprot:P51686""","""StitchMetaboliteReceptor""",null,5789,"[""Extracellular"", ""Lysosome"", ""Mitochondria""]","[""Adipose Tissue"", ""Adrenal Gland"", ""Bladder"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle"", ""Spleen"", ""Testis"", ""Thyroid Gland""]","[""Amniotic Fluid"", ""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Urine""]","""Pyrimidine 2'-deoxyribonucleosides""",205,0,205,0,0
"""HMDB0000975""","""binding""","""Trehalose""","""CCR9""","""uniprot:P51686""","""StitchMetaboliteReceptor""",null,7427,"[""Extracellular""]","[""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Platelet"", ""Skeletal Muscle""]","[""Feces"", ""Urine""]","""Carbohydrates and carbohydrate conjugates""",322,0,322,0,0
"""HMDB0014323""","""binding""","""Valsartan""","""CCR9""","""uniprot:P51686""","""StitchMetaboliteReceptor""",null,60846,"[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""Amino acids, peptides, and analogues""",417,0,259,0,236
"""HMDB0000050""","""binding""","""Adenosine""","""CCR9""","""uniprot:P51686""","""StitchMetaboliteReceptor""",null,60961,"[""Extracellular"", ""Lysosome"", ""Mitochondria""]","[""All Tissues"", ""Placenta""]","[""Blood"", ""Breast Milk"", ""Cellular Cytoplasm"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Urine""]",null,921,0,237,900,0
"""HMDB0014844""","""binding""","""Tamsulosin""","""CCR9""","""uniprot:P51686""","""StitchMetaboliteReceptor""",null,129211,"[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""Phenethylamines""",325,0,325,0,0
"""HMDB0000169""","""binding""","""D-Mannose""","""CCR9""","""uniprot:P51686""","""StitchMetaboliteReceptor""",null,185698,"[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Golgi apparatus"", ""Lysosome""]","[""Adrenal Medulla"", ""Bladder"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Prostate"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Blood"", ""Breast Milk"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Urine""]","""Carbohydrates and carbohydrate conjugates""",322,0,322,0,0
"""HMDB0000216""","""binding""","""Norepinephrine""","""CCR9""","""uniprot:P51686""","""StitchMetaboliteReceptor""",null,439260,"[""Extracellular""]","[""Adipose Tissue"", ""Adrenal Cortex"", ""Adrenal Gland"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Heart"", ""Intestine"", ""Kidney"", ""Leukocyte"", ""Neuron"", ""Ovary"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle"", ""Testis""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Urine""]","""Benzenediols""",922,0,249,900,0
"""HMDB0008923""","""binding""","""PE(16:0/16:0)""","""CCR9""","""uniprot:P51686""","""StitchMetaboliteReceptor""",null,445468,"[""Extracellular"", ""Membrane""]","[""All Tissues"", ""Brain""]","[""Feces""]","""Glycerophosphoethanolamines""",322,0,322,0,0
"""HMDB0000674""","""binding""","""PA(16:0/16:0)""","""CCR9""","""uniprot:P51686""","""StitchMetaboliteReceptor""",null,446066,"[""Extracellular"", ""Membrane""]",null,"[""Blood""]","""Glycerophosphates""",322,0,322,0,0
"""HMDB0036565""","""binding""","""beta-Ionone""","""CCR9""","""uniprot:P51686""","""StitchMetaboliteReceptor""",null,638014,"[""Extracellular"", ""Membrane""]",null,"[""Saliva""]","""Sesquiterpenoids""",322,0,322,0,0
"""HMDB0001358""","""binding""","""Retinal""","""CCR9""","""uniprot:P51686""","""StitchMetaboliteReceptor""",null,638015,"[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Adrenal Cortex"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Lung"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Blood"", ""Urine""]","""Retinoids""",384,0,322,0,117
"""HMDB0001220""","""binding""","""Prostaglandin E2""","""CCR9""","""uniprot:P51686""","""StitchMetaboliteReceptor""",null,5280360,"[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Membrane""]","[""Brain"", ""Epidermis"", ""Fibroblasts"", ""Placenta""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Urine""]","""Eicosanoids""",928,0,309,900,0
"""HMDB0001442""","""binding""","""Prostaglandin E1""","""CCR9""","""uniprot:P51686""","""StitchMetaboliteReceptor""",null,5280723,"[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Liver"", ""Neuron"", ""Placenta"", ""Platelet""]","[""Blood""]","""Eicosanoids""",271,0,271,0,0
"""HMDB0004080""","""binding""","""Anandamide""","""CCR9""","""uniprot:P51686""","""StitchMetaboliteReceptor""",null,5281969,"[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Urine""]","""Amines""",211,0,211,0,0
"""HMDB0004666""","""binding""","""MG(0:0/20:4(5Z,8Z,11Z,14Z)/0:0)""","""CCR9""","""uniprot:P51686""","""StitchMetaboliteReceptor""",null,5282280,"[""Extracellular"", ""Membrane""]","[""All Tissues"", ""Placenta""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Urine""]",null,910,0,126,900,0
"""HMDB0000990""","""binding""","""Acetaldehyde""","""CCR9""","""uniprot:P51686""","""StitchMetaboliteReceptor""",null,177,"[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Mitochondria"", ""Peroxisome""]","[""Adrenal Medulla"", ""Brain"", ""Epidermis"", ""Erythrocyte"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Liver"", ""Neuron"", ""Ovary"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Skeletal Muscle"", ""Testis"", ""Thyroid Gland""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Sweat"", ""Urine""]","""Carbonyl compounds""",322,0,322,0,0
"""HMDB0000073""","""binding""","""Dopamine""","""CCR9""","""uniprot:P51686""","""StitchMetaboliteReceptor""",null,681,"[""Cytoplasm"", ""Extracellular""]","[""Adipose Tissue"", ""Adrenal Cortex"", ""Adrenal Gland"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Urine""]","""Benzenediols""",925,0,274,900,0
"""HMDB0000123""","""binding""","""Glycine""","""CCR9""","""uniprot:P51686""","""StitchMetaboliteReceptor""",null,750,"[""Extracellular"", ""Lysosome"", ""Mitochondria"", ""Peroxisome""]","[""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Spleen"", ""Thyroid Gland""]","[""Bile"", ""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Sweat"", ""Urine""]","""Amino acids, peptides, and analogues""",283,0,283,0,0
"""HMDB0000870""","""binding""","""Histamine""","""CCR9""","""uniprot:P51686""","""StitchMetaboliteReceptor""",null,774,"[""Extracellular""]","[""Adipose Tissue"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Urine""]","""Amines""",935,0,204,900,236
"""HMDB0000220""","""binding""","""Palmitic acid""","""CCR9""","""uniprot:P51686""","""StitchMetaboliteReceptor""",null,985,"[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Membrane"", ""Peroxisome""]","[""Adipose Tissue"", ""Bladder"", ""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Sweat"", ""Urine""]","""Fatty acids and conjugates""",467,0,322,0,236
"""HMDB0014466""","""binding""","""Amitriptyline""","""CCR9""","""uniprot:P51686""","""StitchMetaboliteReceptor""",null,2160,"[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]",null,286,0,286,0,0
"""HMDB0014683""","""binding""","""Amoxapine""","""CCR9""","""uniprot:P51686""","""StitchMetaboliteReceptor""",null,2170,"[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""Dibenzoxazepines""",214,0,214,0,0
"""HMDB0015267""","""binding""","""Carvedilol""","""CCR9""","""uniprot:P51686""","""StitchMetaboliteReceptor""",null,2585,"[""Cytoplasm"", ""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""Carbazoles""",274,0,274,0,0
"""HMDB0014620""","""binding""","""Chlorpromazine""","""CCR9""","""uniprot:P51686""","""StitchMetaboliteReceptor""",null,2726,"[""Cytoplasm"", ""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""Phenothiazines""",267,0,267,0,0
"""HMDB0014677""","""binding""","""Ciprofloxacin""","""CCR9""","""uniprot:P51686""","""StitchMetaboliteReceptor""",null,2764,"[""Cytoplasm"", ""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""Quinoline carboxylic acids""",282,0,282,0,0
"""HMDB0015477""","""binding""","""Clenbuterol""","""CCR9""","""uniprot:P51686""","""StitchMetaboliteReceptor""",null,2783,"[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""Halobenzenes""",276,0,276,0,0
"""HMDB0015282""","""binding""","""Desipramine""","""CCR9""","""uniprot:P51686""","""StitchMetaboliteReceptor""",null,2995,"[""Cytoplasm"", ""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""Dibenzazepines""",280,0,280,0,0
"""HMDB0014328""","""binding""","""Amphetamine""","""CCR9""","""uniprot:P51686""","""StitchMetaboliteReceptor""",null,3007,"[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Kidney"", ""Liver""]","[""Blood"", ""Urine""]","""Phenethylamines""",275,0,275,0,0
"""HMDB0040987""","""binding""","""(-)-Morphine""","""CCR9""","""uniprot:P51686""","""StitchMetaboliteReceptor""",null,4253,"[""Cytoplasm"", ""Extracellular""]",null,null,null,382,101,332,0,0
"""HMDB0014680""","""binding""","""Nortriptyline""","""CCR9""","""uniprot:P51686""","""StitchMetaboliteReceptor""",null,4543,"[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Kidney"", ""Liver""]","[""Blood"", ""Urine""]",null,286,0,286,0,0
"""HMDB0015070""","""binding""","""Oxymetazoline""","""CCR9""","""uniprot:P51686""","""StitchMetaboliteReceptor""",null,4636,"[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""Xylenes""",270,0,270,0,0
"""HMDB0014600""","""binding""","""Prazosin""","""CCR9""","""uniprot:P51686""","""StitchMetaboliteReceptor""",null,4893,"[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""Piperazines""",366,0,366,0,0
"""HMDB0000259""","""binding""","""Serotonin""","""CCR9""","""uniprot:P51686""","""StitchMetaboliteReceptor""",null,5202,"[""Cytoplasm"", ""Extracellular""]","[""Adipose Tissue"", ""Adrenal Cortex"", ""Adrenal Gland"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Urine""]","""Tryptamines and derivatives""",928,0,310,900,0
"""HMDB0014794""","""binding""","""Trazodone""","""CCR9""","""uniprot:P51686""","""StitchMetaboliteReceptor""",null,5533,"[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""Piperazines""",209,0,209,0,0
"""HMDB0031404""","""binding""","""Cyclohexylamine""","""CCR9""","""uniprot:P51686""","""StitchMetaboliteReceptor""",null,7965,"[""Cytoplasm"", ""Extracellular""]",null,"[""Blood"", ""Feces""]","""Cyclohexylamines""",307,0,307,0,0
"""HMDB0015559""","""binding""","""Thioproperazine""","""CCR9""","""uniprot:P51686""","""StitchMetaboliteReceptor""",null,9429,"[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""Phenothiazines""",275,0,275,0,0
"""HMDB0032477""","""binding""","""Polyoxyethylene 40 monostearate""","""CCR9""","""uniprot:P51686""","""StitchMetaboliteReceptor""",null,24762,"[""Extracellular"", ""Membrane""]",null,null,"""Fatty acid esters""",287,0,287,0,0
"""HMDB0014940""","""binding""","""Alfentanil""","""CCR9""","""uniprot:P51686""","""StitchMetaboliteReceptor""",null,51263,"[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""Anilides""",273,0,273,0,0
"""HMDB0013657""","""binding""","""2-Arachidonyl Glycerol ether""","""CCR9""","""uniprot:P51686""","""StitchMetaboliteReceptor""",null,6483057,"[""Extracellular"", ""Membrane""]",null,null,null,205,0,205,0,0
"""HMDB0014323""","""activation""","""Valsartan""","""CCR9""","""uniprot:P51686""","""StitchMetaboliteReceptor""",null,60846,"[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""Amino acids, peptides, and analogues""",417,0,259,0,236
"""HMDB0000895""","""activation""","""Acetylcholine""","""CCR9""","""uniprot:P51686""","""StitchMetaboliteReceptor""",null,187,"[""Cytoplasm"", ""Extracellular"", ""Nucleus""]","[""Adipose Tissue"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Lung"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Cerebrospinal Fluid (CSF)"", ""Saliva""]","""Quaternary ammonium salts""",921,0,0,900,236
"""HMDB0000870""","""activation""","""Histamine""","""CCR9""","""uniprot:P51686""","""StitchMetaboliteReceptor""",null,774,"[""Extracellular""]","[""Adipose Tissue"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Urine""]","""Amines""",935,0,204,900,236
"""HMDB0000220""","""activation""","""Palmitic acid""","""CCR9""","""uniprot:P51686""","""StitchMetaboliteReceptor""",null,985,"[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Membrane"", ""Peroxisome""]","[""Adipose Tissue"", ""Bladder"", ""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Sweat"", ""Urine""]","""Fatty acids and conjugates""",467,0,322,0,236
"""HMDB0014600""","""inhibition""","""Prazosin""","""KCNH6""","""uniprot:Q9H252""","""StitchMetaboliteReceptor""",null,4893,"[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""Piperazines""",800,0,0,800,0
"""HMDB0006284""","""binding""","""L-2,4-diaminobutyric acid""","""TYRO3""","""uniprot:Q06418""","""StitchMetaboliteReceptor""",null,134490,"[""Cytoplasm"", ""Extracellular"", ""Mitochondria""]",null,"[""Blood"", ""Urine""]","""Amino acids, peptides, and analogues""",428,0,428,0,0
"""HMDB0000134""","""binding""","""Fumaric acid""","""TYRO3""","""uniprot:Q06418""","""StitchMetaboliteReceptor""",null,444972,"[""Extracellular"", ""Membrane"", ""Mitochondria""]","[""Placenta"", ""Prostate""]","[""Blood"", ""Breast Milk"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Sweat"", ""Urine""]","""Dicarboxylic acids and derivatives""",428,0,428,0,0
"""HMDB0015397""","""binding""","""Sunitinib""","""TYRO3""","""uniprot:Q06418""","""StitchMetaboliteReceptor""",null,5329102,"[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""Indolines""",830,0,829,0,0
"""HMDB0033934""","""binding""","""beta-Sitostenone""","""TYRO3""","""uniprot:Q06418""","""StitchMetaboliteReceptor""",null,222,"[""Extracellular"", ""Membrane""]",null,null,null,475,0,428,0,110
"""HMDB0041130""","""binding""","""24-Epibrassinolide""","""TYRO3""","""uniprot:Q06418""","""StitchMetaboliteReceptor""",null,3239,"[""Cytoplasm"", ""Extracellular""]",null,null,"""Steroid lactones""",339,0,339,0,0
"""HMDB0015397""","""inhibition""","""Sunitinib""","""TYRO3""","""uniprot:Q06418""","""StitchMetaboliteReceptor""",null,5329102,"[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""Indolines""",830,0,829,0,0
"""HMDB0000036""","""inhibition""","""Taurocholic acid""","""SLCO1C1""","""uniprot:Q9NYB5""","""ScconnectMetaboliteReceptor""",null,6675,"[""Extracellular""]","[""Fibroblasts"", ""Intestine"", ""Liver"", ""Neuron"", ""Placenta""]","[""Bile"", ""Blood"", ""Feces"", ""Urine""]","""Bile acids, alcohols and derivatives""",null,null,null,null,null
"""HMDB0033439""","""binding""","""(-)-alpha-Narcotine""","""TAS2R3""","""uniprot:Q9NYW6""","""StitchMetaboliteReceptor""",null,275196,"[""Cytoplasm"", ""Extracellular""]",null,null,null,912,0,0,900,154
"""HMDB0029943""","""binding""","""Arbutin""","""TAS2R3""","""uniprot:Q9NYW6""","""StitchMetaboliteReceptor""",null,440936,"[""Cytoplasm"", ""Extracellular""]",null,null,"""Carbohydrates and carbohydrate conjugates""",912,0,0,900,149
"""HMDB0001218""","""binding""","""Coumarin""","""TAS2R3""","""uniprot:Q9NYW6""","""StitchMetaboliteReceptor""",null,323,"[""Cytoplasm"", ""Extracellular"", ""Membrane""]",null,"[""Saliva""]",null,900,0,0,900,0
"""HMDB0035030""","""binding""","""Amygdalin""","""TAS2R3""","""uniprot:Q9NYW6""","""StitchMetaboliteReceptor""",null,2180,"[""Cytoplasm"", ""Extracellular""]",null,null,"""Carbohydrates and carbohydrate conjugates""",920,0,0,900,225
"""HMDB0033441""","""binding""","""(±)-alpha-Narcotine""","""TAS2R3""","""uniprot:Q9NYW6""","""StitchMetaboliteReceptor""",null,4544,"[""Cytoplasm"", ""Extracellular""]",null,null,null,909,0,0,900,119
"""HMDB0036587""","""binding""","""Quassin""","""TAS2R3""","""uniprot:Q9NYW6""","""StitchMetaboliteReceptor""",null,4998,"[""Extracellular"", ""Membrane""]",null,null,"""Terpene lactones""",900,0,0,900,0
"""HMDB0031849""","""binding""","""2-Ethylpyrazine""","""TAS2R3""","""uniprot:Q9NYW6""","""StitchMetaboliteReceptor""",null,26331,"[""Cytoplasm"", ""Extracellular""]",null,null,"""Pyrazines""",900,0,0,900,0
"""HMDB0030026""","""binding""","""Isohumulone A""","""TAS2R3""","""uniprot:Q9NYW6""","""StitchMetaboliteReceptor""",null,93090,"[""Cytoplasm"", ""Extracellular""]",null,null,"""Monoterpenoids""",900,0,0,900,0
"""HMDB0015044""","""inhibition""","""Quinidine""","""KCNK1""","""uniprot:O00180""","""StitchMetaboliteReceptor""",null,441074,"[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Feces"", ""Urine""]",null,820,0,0,800,128
"""HMDB0000151""","""inhibition""","""Estradiol""","""SLC22A1""","""uniprot:O15245""","""StitchMetaboliteReceptor""",null,5757,"[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Membrane""]","[""Adipose Tissue"", ""Adrenal Cortex"", ""Adrenal Gland"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Liver"", ""Neuron"", ""Ovary"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Saliva"", ""Urine""]","""Estrane steroids""",744,0,107,700,100
"""HMDB0001830""","""inhibition""","""Progesterone""","""SLC22A1""","""uniprot:O15245""","""StitchMetaboliteReceptor""",null,5994,"[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Membrane""]","[""Adipose Tissue"", ""Fibroblasts"", ""Neuron"", ""Ovary"", ""Placenta"", ""Platelet"", ""Prostate"", ""Testis""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Urine""]","""Pregnane steroids""",768,0,250,700,0
"""HMDB0001925""","""inhibition""","""Ibuprofen""","""SLC22A1""","""uniprot:O15245""","""StitchMetaboliteReceptor""",null,3672,"[""Extracellular"", ""Membrane""]","[""Adipose Tissue"", ""Adrenal Cortex"", ""Adrenal Gland"", ""Bladder"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Urine""]",null,700,0,0,700,0
"""HMDB0014473""","""inhibition""","""Indomethacin""","""SLC22A1""","""uniprot:O15245""","""StitchMetaboliteReceptor""",null,3715,"[""Cytoplasm"", ""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""Benzoylindoles""",722,0,0,700,103
"""HMDB0015144""","""inhibition""","""Ketoprofen""","""SLC22A1""","""uniprot:O15245""","""StitchMetaboliteReceptor""",null,3825,"[""Cytoplasm"", ""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Saliva"", ""Urine""]","""Benzophenones""",774,0,203,700,112
"""HMDB0014600""","""inhibition""","""Prazosin""","""SLC22A1""","""uniprot:O15245""","""StitchMetaboliteReceptor""",null,4893,"[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""Piperazines""",763,0,171,700,105
