HMDB,MetName,Symbol,CellLoc,TissueLoc,BiospecLoc,Mode,Direction,Status,Uniprot,ProtName
"""HMDB0015267""","""Carvedilol""","""GPR88""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:Q9GZN0""",null
"""HMDB0014620""","""Chlorpromazine""","""GPR88""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:Q9GZN0""",null
"""HMDB0014677""","""Ciprofloxacin""","""GPR88""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:Q9GZN0""",null
"""HMDB0015477""","""Clenbuterol""","""GPR88""","[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:Q9GZN0""",null
"""HMDB0015282""","""Desipramine""","""GPR88""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:Q9GZN0""",null
"""HMDB0014328""","""Amphetamine""","""GPR88""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Kidney"", ""Liver""]","[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:Q9GZN0""",null
"""HMDB0014680""","""Nortriptyline""","""GPR88""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Kidney"", ""Liver""]","[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:Q9GZN0""",null
"""HMDB0015070""","""Oxymetazoline""","""GPR88""","[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:Q9GZN0""",null
"""HMDB0014600""","""Prazosin""","""GPR88""","[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:Q9GZN0""",null
"""HMDB0000259""","""Serotonin""","""GPR88""","[""Cytoplasm"", ""Extracellular""]","[""Adipose Tissue"", ""Adrenal Cortex"", ""Adrenal Gland"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Urine""]","""binding""",null,null,"""uniprot:Q9GZN0""",null
"""HMDB0014794""","""Trazodone""","""GPR88""","[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:Q9GZN0""",null
"""HMDB0015559""","""Thioproperazine""","""GPR88""","[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:Q9GZN0""",null
"""HMDB0014940""","""Alfentanil""","""GPR88""","[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:Q9GZN0""",null
"""HMDB0014323""","""Valsartan""","""GPR88""","[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""activation""",null,null,"""uniprot:Q9GZN0""",null
"""HMDB0000870""","""Histamine""","""GPR88""","[""Extracellular""]","[""Adipose Tissue"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Urine""]","""activation""",null,null,"""uniprot:Q9GZN0""",null
"""HMDB0000220""","""Palmitic acid""","""GPR88""","[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Membrane"", ""Peroxisome""]","[""Adipose Tissue"", ""Bladder"", ""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Sweat"", ""Urine""]","""activation""",null,null,"""uniprot:Q9GZN0""",null
"""HMDB0000073""","""Dopamine""","""DRD2""","[""Cytoplasm"", ""Extracellular""]","[""Adipose Tissue"", ""Adrenal Cortex"", ""Adrenal Gland"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Urine""]","""activation""",null,null,"""uniprot:P14416""",null
"""HMDB0000073""","""Dopamine""","""DRD2""","[""Cytoplasm"", ""Extracellular""]","[""Adipose Tissue"", ""Adrenal Cortex"", ""Adrenal Gland"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Urine""]","""activation""",null,null,"""uniprot:P14416""",null
"""HMDB0000259""","""Serotonin""","""DRD2""","[""Cytoplasm"", ""Extracellular""]","[""Adipose Tissue"", ""Adrenal Cortex"", ""Adrenal Gland"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Urine""]","""activation""",null,null,"""uniprot:P14416""",null
"""HMDB0000073""","""Dopamine""","""DRD2""","[""Cytoplasm"", ""Extracellular""]","[""Adipose Tissue"", ""Adrenal Cortex"", ""Adrenal Gland"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Urine""]","""activation""",null,null,"""uniprot:P14416""",null
"""HMDB0000073""","""Dopamine""","""DRD2""","[""Cytoplasm"", ""Extracellular""]","[""Adipose Tissue"", ""Adrenal Cortex"", ""Adrenal Gland"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Urine""]","""activation""",null,null,"""uniprot:P14416""",null
"""HMDB0014328""","""Amphetamine""","""DRD2""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Kidney"", ""Liver""]","[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:P14416""",null
"""HMDB0000273""","""Thymidine""","""DRD2""","[""Extracellular"", ""Lysosome"", ""Mitochondria""]","[""Adipose Tissue"", ""Adrenal Gland"", ""Bladder"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle"", ""Spleen"", ""Testis"", ""Thyroid Gland""]","[""Amniotic Fluid"", ""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Urine""]","""binding""",null,null,"""uniprot:P14416""",null
"""HMDB0000181""","""L-Dopa""","""DRD2""","[""Cytoplasm"", ""Extracellular""]","[""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Intestine"", ""Neuron"", ""Placenta"", ""Platelet"", ""Skeletal Muscle""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Urine""]","""binding""",null,null,"""uniprot:P14416""",null
"""HMDB0000975""","""Trehalose""","""DRD2""","[""Extracellular""]","[""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Platelet"", ""Skeletal Muscle""]","[""Feces"", ""Urine""]","""binding""",null,null,"""uniprot:P14416""",null
"""HMDB0014323""","""Valsartan""","""DRD2""","[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:P14416""",null
"""HMDB0000050""","""Adenosine""","""DRD2""","[""Extracellular"", ""Lysosome"", ""Mitochondria""]","[""All Tissues"", ""Placenta""]","[""Blood"", ""Breast Milk"", ""Cellular Cytoplasm"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Urine""]","""binding""",null,null,"""uniprot:P14416""",null
"""HMDB0014844""","""Tamsulosin""","""DRD2""","[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:P14416""",null
"""HMDB0000169""","""D-Mannose""","""DRD2""","[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Golgi apparatus"", ""Lysosome""]","[""Adrenal Medulla"", ""Bladder"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Prostate"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Blood"", ""Breast Milk"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Urine""]","""binding""",null,null,"""uniprot:P14416""",null
"""HMDB0000216""","""Norepinephrine""","""DRD2""","[""Extracellular""]","[""Adipose Tissue"", ""Adrenal Cortex"", ""Adrenal Gland"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Heart"", ""Intestine"", ""Kidney"", ""Leukocyte"", ""Neuron"", ""Ovary"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle"", ""Testis""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Urine""]","""binding""",null,null,"""uniprot:P14416""",null
"""HMDB0008923""","""PE(16:0/16:0)""","""DRD2""","[""Extracellular"", ""Membrane""]","[""All Tissues"", ""Brain""]","[""Feces""]","""binding""",null,null,"""uniprot:P14416""",null
"""HMDB0001358""","""Retinal""","""DRD2""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Adrenal Cortex"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Lung"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:P14416""",null
"""HMDB0015560""","""Thiothixene""","""DRD2""","[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:P14416""",null
"""HMDB0001220""","""Prostaglandin E2""","""DRD2""","[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Membrane""]","[""Brain"", ""Epidermis"", ""Fibroblasts"", ""Placenta""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Urine""]","""binding""",null,null,"""uniprot:P14416""",null
"""HMDB0001442""","""Prostaglandin E1""","""DRD2""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Liver"", ""Neuron"", ""Placenta"", ""Platelet""]","[""Blood""]","""binding""",null,null,"""uniprot:P14416""",null
"""HMDB0004080""","""Anandamide""","""DRD2""","[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Urine""]","""binding""",null,null,"""uniprot:P14416""",null
"""HMDB0004666""","""MG(0:0/20:4(5Z,8Z,11Z,14Z)/0:0)""","""DRD2""","[""Extracellular"", ""Membrane""]","[""All Tissues"", ""Placenta""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Urine""]","""binding""",null,null,"""uniprot:P14416""",null
"""HMDB0000990""","""Acetaldehyde""","""DRD2""","[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Mitochondria"", ""Peroxisome""]","[""Adrenal Medulla"", ""Brain"", ""Epidermis"", ""Erythrocyte"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Liver"", ""Neuron"", ""Ovary"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Skeletal Muscle"", ""Testis"", ""Thyroid Gland""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Sweat"", ""Urine""]","""binding""",null,null,"""uniprot:P14416""",null
"""HMDB0000073""","""Dopamine""","""DRD2""","[""Cytoplasm"", ""Extracellular""]","[""Adipose Tissue"", ""Adrenal Cortex"", ""Adrenal Gland"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Urine""]","""binding""",null,null,"""uniprot:P14416""",null
"""HMDB0000123""","""Glycine""","""DRD2""","[""Extracellular"", ""Lysosome"", ""Mitochondria"", ""Peroxisome""]","[""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Spleen"", ""Thyroid Gland""]","[""Bile"", ""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Sweat"", ""Urine""]","""binding""",null,null,"""uniprot:P14416""",null
"""HMDB0000870""","""Histamine""","""DRD2""","[""Extracellular""]","[""Adipose Tissue"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Urine""]","""binding""",null,null,"""uniprot:P14416""",null
"""HMDB0000220""","""Palmitic acid""","""DRD2""","[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Membrane"", ""Peroxisome""]","[""Adipose Tissue"", ""Bladder"", ""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Sweat"", ""Urine""]","""binding""",null,null,"""uniprot:P14416""",null
"""HMDB0015051""","""Amantadine""","""DRD2""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:P14416""",null
"""HMDB0014466""","""Amitriptyline""","""DRD2""","[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:P14416""",null
"""HMDB0014683""","""Amoxapine""","""DRD2""","[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:P14416""",null
"""HMDB0015267""","""Carvedilol""","""DRD2""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:P14416""",null
"""HMDB0014620""","""Chlorpromazine""","""DRD2""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:P14416""",null
"""HMDB0014677""","""Ciprofloxacin""","""DRD2""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:P14416""",null
"""HMDB0015477""","""Clenbuterol""","""DRD2""","[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:P14416""",null
"""HMDB0015282""","""Desipramine""","""DRD2""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:P14416""",null
"""HMDB0014328""","""Amphetamine""","""DRD2""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Kidney"", ""Liver""]","[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:P14416""",null
"""HMDB0015069""","""Maprotiline""","""DRD2""","[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:P14416""",null
"""HMDB0014680""","""Nortriptyline""","""DRD2""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Kidney"", ""Liver""]","[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:P14416""",null
"""HMDB0015070""","""Oxymetazoline""","""DRD2""","[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:P14416""",null
"""HMDB0014600""","""Prazosin""","""DRD2""","[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:P14416""",null
"""HMDB0000259""","""Serotonin""","""DRD2""","[""Cytoplasm"", ""Extracellular""]","[""Adipose Tissue"", ""Adrenal Cortex"", ""Adrenal Gland"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Urine""]","""binding""",null,null,"""uniprot:P14416""",null
"""HMDB0014794""","""Trazodone""","""DRD2""","[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:P14416""",null
"""HMDB0015559""","""Thioproperazine""","""DRD2""","[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:P14416""",null
"""HMDB0014940""","""Alfentanil""","""DRD2""","[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:P14416""",null
"""HMDB0015558""","""Pipotiazine""","""DRD2""","[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""binding""",null,null,"""uniprot:P14416""",null
"""HMDB0015560""","""Thiothixene""","""DRD2""","[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""inhibition""",null,null,"""uniprot:P14416""",null
"""HMDB0014683""","""Amoxapine""","""DRD2""","[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""inhibition""",null,null,"""uniprot:P14416""",null
"""HMDB0014620""","""Chlorpromazine""","""DRD2""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""inhibition""",null,null,"""uniprot:P14416""",null
"""HMDB0014680""","""Nortriptyline""","""DRD2""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Kidney"", ""Liver""]","[""Blood"", ""Urine""]","""inhibition""",null,null,"""uniprot:P14416""",null
"""HMDB0015559""","""Thioproperazine""","""DRD2""","[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""inhibition""",null,null,"""uniprot:P14416""",null
"""HMDB0015558""","""Pipotiazine""","""DRD2""","[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""inhibition""",null,null,"""uniprot:P14416""",null
"""HMDB0000181""","""L-Dopa""","""DRD2""","[""Cytoplasm"", ""Extracellular""]","[""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Intestine"", ""Neuron"", ""Placenta"", ""Platelet"", ""Skeletal Muscle""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Urine""]","""activation""",null,null,"""uniprot:P14416""",null
"""HMDB0014323""","""Valsartan""","""DRD2""","[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""activation""",null,null,"""uniprot:P14416""",null
"""HMDB0000895""","""Acetylcholine""","""DRD2""","[""Cytoplasm"", ""Extracellular"", ""Nucleus""]","[""Adipose Tissue"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Lung"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Cerebrospinal Fluid (CSF)"", ""Saliva""]","""activation""",null,null,"""uniprot:P14416""",null
"""HMDB0000464""","""Calcium""","""DRD2""","[""Extracellular""]",null,"[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Saliva"", ""Urine""]","""activation""",null,null,"""uniprot:P14416""",null
"""HMDB0000073""","""Dopamine""","""DRD2""","[""Cytoplasm"", ""Extracellular""]","[""Adipose Tissue"", ""Adrenal Cortex"", ""Adrenal Gland"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Urine""]","""activation""",null,null,"""uniprot:P14416""",null
"""HMDB0000870""","""Histamine""","""DRD2""","[""Extracellular""]","[""Adipose Tissue"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Urine""]","""activation""",null,null,"""uniprot:P14416""",null
"""HMDB0000220""","""Palmitic acid""","""DRD2""","[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Membrane"", ""Peroxisome""]","[""Adipose Tissue"", ""Bladder"", ""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Sweat"", ""Urine""]","""activation""",null,null,"""uniprot:P14416""",null
"""HMDB0015051""","""Amantadine""","""DRD2""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""activation""",null,null,"""uniprot:P14416""",null
"""HMDB0014328""","""Amphetamine""","""DRD2""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Kidney"", ""Liver""]","[""Blood"", ""Urine""]","""activation""",null,null,"""uniprot:P14416""",null
"""HMDB0000073""","""Dopamine""","""DRD2""","[""Cytoplasm"", ""Extracellular""]","[""Adipose Tissue"", ""Adrenal Cortex"", ""Adrenal Gland"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Urine""]","""activation""",null,null,"""uniprot:P14416""",null
"""HMDB0000068""","""Epinephrine""","""DRD2""","[""Cytoplasm"", ""Extracellular""]","[""Adipose Tissue"", ""Adrenal Cortex"", ""Adrenal Gland"", ""Adrenal Medulla"", ""Bladder"", ""Epidermis"", ""Eye Lens"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Liver"", ""Neuron"", ""Ovary"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Skeletal Muscle"", ""Testis""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Urine""]","""activation""",null,null,"""uniprot:P14416""",null
"""HMDB0000464""","""Calcium""","""PTPRN""","[""Extracellular""]",null,"[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Saliva"", ""Urine""]","""binding""",null,null,"""uniprot:Q16849""",null
"""HMDB0000123""","""Glycine""","""PTPRN""","[""Extracellular"", ""Lysosome"", ""Mitochondria"", ""Peroxisome""]","[""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Spleen"", ""Thyroid Gland""]","[""Bile"", ""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Sweat"", ""Urine""]","""binding""",null,null,"""uniprot:Q16849""",null
"""HMDB0000131""","""Glycerol""","""PTPRN""","[""Extracellular"", ""Mitochondria""]","[""Adipose Tissue"", ""Bladder"", ""Brain"", ""Epidermis"", ""Kidney"", ""Liver"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Prostate"", ""Skeletal Muscle"", ""Spleen"", ""Testis"", ""Thyroid Gland""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Sweat"", ""Urine""]","""binding""",null,null,"""uniprot:Q16849""",null
"""HMDB0000148""","""L-Glutamic acid""","""GRIA2""","[""Endoplasmic reticulum"", ""Extracellular"", ""Lysosome"", ""Mitochondria""]","[""Adipose Tissue"", ""Adrenal Medulla"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle"", ""Spleen""]","[""Blood"", ""Cellular Cytoplasm"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Sweat"", ""Urine""]","""activation""",null,null,"""uniprot:P42262""",null
"""HMDB0000464""","""Calcium""","""GRIA2""","[""Extracellular""]",null,"[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Saliva"", ""Urine""]","""activation""",null,null,"""uniprot:P42262""",null
"""HMDB0000191""","""L-Aspartic acid""","""GRIA2""","[""Cytoplasm"", ""Extracellular"", ""Mitochondria""]","[""All Tissues"", ""Placenta"", ""Prostate""]","[""Blood"", ""Breast Milk"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Sweat"", ""Urine""]","""activation""",null,null,"""uniprot:P42262""",null
"""HMDB0000148""","""L-Glutamic acid""","""GRIA2""","[""Endoplasmic reticulum"", ""Extracellular"", ""Lysosome"", ""Mitochondria""]","[""Adipose Tissue"", ""Adrenal Medulla"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle"", ""Spleen""]","[""Blood"", ""Cellular Cytoplasm"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Sweat"", ""Urine""]","""activation""",null,null,"""uniprot:P42262""",null
"""HMDB0000464""","""Calcium""","""GRIA2""","[""Extracellular""]",null,"[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Saliva"", ""Urine""]","""activation""",null,null,"""uniprot:P42262""",null
"""HMDB0000148""","""L-Glutamic acid""","""GRIA2""","[""Endoplasmic reticulum"", ""Extracellular"", ""Lysosome"", ""Mitochondria""]","[""Adipose Tissue"", ""Adrenal Medulla"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle"", ""Spleen""]","[""Blood"", ""Cellular Cytoplasm"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Sweat"", ""Urine""]","""activation""",null,null,"""uniprot:P42262""",null
