,HMDB,Symbol,Direction,MetName,Transport,T_direction,Reversibility,DB
13885,HMDB0002012,MT-ND1,degrading,Ubiquinone-1,unknown,unknown,irreversible,ReconProductionDegradation
43346,HMDB0000759,DPEP1,degrading,Glycylleucine,c->e,out,reversible,ReconProductionDegradation
43348,HMDB0002200,DPEP1,producing,Leukotriene E4,unknown,unknown,irreversible,ReconProductionDegradation
43349,HMDB0000687,DPEP1,producing,L-Leucine,c->e,out,reversible,ReconProductionDegradation
43350,HMDB0000123,DPEP1,producing,Glycine,c->e,out,reversible,ReconProductionDegradation
13878,HMDB0001341,MAPK4,producing,ADP,unknown,unknown,irreversible,ReconProductionDegradation
13877,HMDB0000538,MAPK4,degrading,Adenosine triphosphate,unknown,unknown,irreversible,ReconProductionDegradation
43354,HMDB0006318,SLC25A29,producing,Gamma-linolenyl carnitine,c->m,in,reversible,ReconProductionDegradation
13869,HMDB0001185,SETD2,producing,S-Adenosylmethionine,unknown,unknown,reversible,ReconProductionDegradation
43360,HMDB0006317,SLC25A29,producing,trans-Hexadec-2-enoyl carnitine,c->m,in,reversible,ReconProductionDegradation
43355,HMDB0006469,SLC25A29,producing,Linoleyl carnitine,c->m,in,reversible,ReconProductionDegradation
43356,HMDB0006460,SLC25A29,producing,Arachidyl carnitine,c->m,in,reversible,ReconProductionDegradation
13863,HMDB0000295,GCNT7,producing,Uridine 5'-diphosphate,unknown,unknown,irreversible,ReconProductionDegradation
13861,HMDB0000302,GCNT7,degrading,Uridine diphosphategalactose,unknown,unknown,irreversible,ReconProductionDegradation
13858,HMDB0001197,SDHC,producing,FADH,unknown,unknown,reversible,ReconProductionDegradation
13857,HMDB0000134,SDHC,producing,Fumaric acid,unknown,unknown,reversible,ReconProductionDegradation
13856,HMDB0059661,SDHC,producing,QH(2),unknown,unknown,irreversible,ReconProductionDegradation
43357,HMDB0006351,SLC25A29,producing,Vaccenyl carnitine,c->m,in,reversible,ReconProductionDegradation
43358,HMDB0000848,SLC25A29,producing,Stearoylcarnitine,c->m,in,reversible,ReconProductionDegradation
13889,HMDB0059661,MT-ND1,producing,QH(2),unknown,unknown,irreversible,ReconProductionDegradation
13890,HMDB0000902,MT-ND1,producing,NAD,unknown,unknown,irreversible,ReconProductionDegradation
13891,HMDB0000538,MARCHF2,degrading,Adenosine triphosphate,unknown,unknown,irreversible,ReconProductionDegradation
13925,HMDB0002823,ACSL1,degrading,Docosatrienoic acid,unknown,unknown,reversible,ReconProductionDegradation
13924,HMDB0005060,ACSL1,degrading,Eicosadienoic acid,unknown,unknown,reversible,ReconProductionDegradation
13923,HMDB0061714,ACSL1,degrading,Docosadienoate (22:2n6),unknown,unknown,reversible,ReconProductionDegradation
13922,HMDB0006059,ACSL1,degrading,20-Carboxy-leukotriene B4,unknown,unknown,reversible,ReconProductionDegradation
13921,HMDB0012504,ACSL1,degrading,"10,11-dihydro-leukotriene B4",unknown,unknown,reversible,ReconProductionDegradation
13920,HMDB0000795,ACSL1,degrading,Pristanic acid,unknown,unknown,reversible,ReconProductionDegradation
13919,HMDB0012634,ACSL1,degrading,20-COOH-leukotriene E4,unknown,unknown,reversible,ReconProductionDegradation
13918,HMDB0000806,ACSL1,degrading,Myristic acid,unknown,unknown,reversible,ReconProductionDegradation
13917,HMDB0000944,ACSL1,degrading,Behenic acid,unknown,unknown,reversible,ReconProductionDegradation
13914,HMDB0000177,APOC3,degrading,L-Histidine,unknown,unknown,irreversible,ReconProductionDegradation
13907,HMDB0001341,GCLM,producing,ADP,unknown,unknown,irreversible,ReconProductionDegradation
13905,HMDB0001049,GCLM,producing,gamma-Glutamylcysteine,unknown,unknown,irreversible,ReconProductionDegradation
13904,HMDB0000538,GCLM,degrading,Adenosine triphosphate,unknown,unknown,irreversible,ReconProductionDegradation
13903,HMDB0000148,GCLM,degrading,L-Glutamic acid,unknown,unknown,irreversible,ReconProductionDegradation
13902,HMDB0000574,GCLM,degrading,L-Cysteine,unknown,unknown,irreversible,ReconProductionDegradation
13901,HMDB0001341,SRPK1,producing,ADP,unknown,unknown,irreversible,ReconProductionDegradation
13900,HMDB0000538,SRPK1,degrading,Adenosine triphosphate,unknown,unknown,irreversible,ReconProductionDegradation
13893,HMDB0000045,MARCHF2,producing,Adenosine monophosphate,unknown,unknown,irreversible,ReconProductionDegradation
43359,HMDB0006210,SLC25A29,producing,Heptadecanoyl carnitine,c->m,in,reversible,ReconProductionDegradation
13849,HMDB0001248,SDHC,degrading,FAD,unknown,unknown,reversible,ReconProductionDegradation
13927,HMDB0001160,ACSL1,degrading,Tricosanoic acid,unknown,unknown,reversible,ReconProductionDegradation
13788,HMDB0001341,CDK6,producing,ADP,unknown,unknown,irreversible,ReconProductionDegradation
13805,HMDB0001341,TTLL10,producing,ADP,unknown,unknown,reversible,ReconProductionDegradation
13803,HMDB0000538,TTLL10,degrading,Adenosine triphosphate,unknown,unknown,reversible,ReconProductionDegradation
13802,HMDB0000158,TTLL10,degrading,L-Tyrosine,unknown,unknown,reversible,ReconProductionDegradation
13792,HMDB0000994,POMT2,producing,Dolichyl phosphate D-mannose,unknown,unknown,reversible,ReconProductionDegradation
13791,HMDB0006353,POMT2,degrading,Dolichol phosphate,unknown,unknown,reversible,ReconProductionDegradation
43365,HMDB0006464,SLC25A29,producing,Elaidic carnitine,m->c,out,reversible,ReconProductionDegradation
43366,HMDB0000062,SLC25A29,producing,L-Carnitine,c->m,in,reversible,ReconProductionDegradation
13787,HMDB0000538,CDK6,degrading,Adenosine triphosphate,unknown,unknown,irreversible,ReconProductionDegradation
13848,HMDB0000254,SDHC,degrading,Succinic acid,unknown,unknown,reversible,ReconProductionDegradation
13775,HMDB0000230,ACP5,producing,N-Acetylneuraminic acid,unknown,unknown,irreversible,ReconProductionDegradation
13774,HMDB0000244,ACP5,producing,Riboflavin,unknown,unknown,irreversible,ReconProductionDegradation
13773,HMDB0000902,ACP5,producing,NAD,unknown,unknown,irreversible,ReconProductionDegradation
13772,HMDB0000050,ACP5,producing,Adenosine,unknown,unknown,irreversible,ReconProductionDegradation
13771,HMDB0001373,ACP5,producing,Dephospho-CoA,unknown,unknown,irreversible,ReconProductionDegradation
13770,HMDB0000296,ACP5,producing,Uridine,unknown,unknown,irreversible,ReconProductionDegradation
13769,HMDB0000014,ACP5,producing,Deoxycytidine,unknown,unknown,irreversible,ReconProductionDegradation
13768,HMDB0000089,ACP5,producing,Cytidine,unknown,unknown,irreversible,ReconProductionDegradation
13767,HMDB0000273,ACP5,producing,Thymidine,unknown,unknown,irreversible,ReconProductionDegradation
13807,HMDB0000068,COMTD1,degrading,Epinephrine,unknown,unknown,irreversible,ReconProductionDegradation
13808,HMDB0000216,COMTD1,degrading,Norepinephrine,unknown,unknown,irreversible,ReconProductionDegradation
13809,HMDB0001185,COMTD1,degrading,S-Adenosylmethionine,unknown,unknown,irreversible,ReconProductionDegradation
13847,HMDB0002012,SDHC,degrading,Ubiquinone-1,unknown,unknown,irreversible,ReconProductionDegradation
43361,HMDB0005066,SLC25A29,producing,Tetradecanoylcarnitine,c->m,in,reversible,ReconProductionDegradation
43362,HMDB0002250,SLC25A29,producing,Dodecanoylcarnitine,c->m,in,reversible,ReconProductionDegradation
43363,HMDB0006321,SLC25A29,producing,"Docosa-4,7,10,13,16-pentaenoyl carnitine",c->m,in,reversible,ReconProductionDegradation
43364,HMDB0006463,SLC25A29,producing,Stearidonyl carnitine,m->c,out,reversible,ReconProductionDegradation
13842,HMDB0001341,MAST2,producing,ADP,unknown,unknown,irreversible,ReconProductionDegradation
13841,HMDB0000538,MAST2,degrading,Adenosine triphosphate,unknown,unknown,irreversible,ReconProductionDegradation
13823,HMDB0000168,SLC7A8,producing,L-Asparagine,c->e,out,irreversible,ReconProductionDegradation
13822,HMDB0000159,SLC7A8,producing,L-Phenylalanine,e->c,in,irreversible,ReconProductionDegradation
13821,HMDB0000574,SLC7A8,producing,L-Cysteine,c->e,out,irreversible,ReconProductionDegradation
13820,HMDB0000123,SLC7A8,producing,Glycine,c->e,out,reversible,ReconProductionDegradation
13819,HMDB0000167,SLC7A8,producing,L-Threonine,c->e,out,irreversible,ReconProductionDegradation
13818,HMDB0000684,SLC7A8,producing,L-Kynurenine,c->e,out,reversible,ReconProductionDegradation
13817,HMDB0000158,SLC7A8,producing,L-Tyrosine,c->e,out,irreversible,ReconProductionDegradation
13816,HMDB0000172,SLC7A8,producing,L-Isoleucine,c->e,out,irreversible,ReconProductionDegradation
13815,HMDB0000687,SLC7A8,producing,L-Leucine,c->e,out,reversible,ReconProductionDegradation
13814,HMDB0000883,SLC7A8,producing,L-Valine,c->e,out,irreversible,ReconProductionDegradation
13812,HMDB0000939,COMTD1,producing,S-Adenosylhomocysteine,unknown,unknown,irreversible,ReconProductionDegradation
13811,HMDB0000819,COMTD1,producing,Normetanephrine,unknown,unknown,irreversible,ReconProductionDegradation
13810,HMDB0004063,COMTD1,producing,Metanephrine,unknown,unknown,irreversible,ReconProductionDegradation
13926,HMDB0060039,ACSL1,degrading,Dihomo-alpha-linolenic acid,unknown,unknown,reversible,ReconProductionDegradation
13928,HMDB0002884,ACSL1,degrading,Cetoleic acid,unknown,unknown,reversible,ReconProductionDegradation
14117,HMDB0000073,SLC18A2,producing,Dopamine,e->c,in,irreversible,ReconProductionDegradation
13992,HMDB0001338,ACSL1,producing,Palmityl-CoA,unknown,unknown,irreversible,ReconProductionDegradation
14064,HMDB0000538,HERC1,degrading,Adenosine triphosphate,unknown,unknown,irreversible,ReconProductionDegradation
43341,HMDB0000902,CYB5R1,producing,NAD,unknown,unknown,irreversible,ReconProductionDegradation
43343,HMDB0003080,DPEP1,degrading,Leukotriene D4,unknown,unknown,irreversible,ReconProductionDegradation
13996,HMDB0000045,ACSL1,producing,Adenosine monophosphate,unknown,unknown,reversible,ReconProductionDegradation
13994,HMDB0001064,ACSL1,producing,Linoleoyl-CoA,unknown,unknown,reversible,ReconProductionDegradation
13993,HMDB0006532,ACSL1,producing,Palmitoleyl-CoA,unknown,unknown,irreversible,ReconProductionDegradation
13991,HMDB0006497,ACSL1,producing,Heptadecanoyl CoA,unknown,unknown,reversible,ReconProductionDegradation
13979,HMDB0006267,ACSL1,producing,Clupanodonyl CoA,unknown,unknown,reversible,ReconProductionDegradation
13990,HMDB0001114,ACSL1,producing,Stearoyl-CoA,unknown,unknown,irreversible,ReconProductionDegradation
13989,HMDB0006529,ACSL1,producing,trans-Octadec-2-enoyl-CoA,unknown,unknown,reversible,ReconProductionDegradation
13988,HMDB0001322,ACSL1,producing,Oleoyl-CoA,unknown,unknown,irreversible,ReconProductionDegradation
13987,HMDB0006368,ACSL1,producing,Gamma-linolenoyl-CoA,unknown,unknown,reversible,ReconProductionDegradation
13986,HMDB0006290,ACSL1,producing,Alpha-Linolenoyl-CoA,unknown,unknown,reversible,ReconProductionDegradation
13985,HMDB0006519,ACSL1,producing,Stearidonoyl CoA,unknown,unknown,reversible,ReconProductionDegradation
13984,HMDB0004258,ACSL1,producing,Eicosanoyl-CoA,unknown,unknown,irreversible,ReconProductionDegradation
13983,HMDB0003947,ACSL1,producing,"8Z,11Z,14Z-eicosatrienoyl-CoA",unknown,unknown,reversible,ReconProductionDegradation
13982,HMDB0006523,ACSL1,producing,Arachidonyl-CoA,unknown,unknown,reversible,ReconProductionDegradation
13981,HMDB0060311,ACSL1,producing,"(5Z,8Z,11Z,14Z,17Z)-Icosapentaenoyl-CoA",unknown,unknown,reversible,ReconProductionDegradation
14066,HMDB0000045,HERC1,producing,Adenosine monophosphate,unknown,unknown,irreversible,ReconProductionDegradation
14071,HMDB0002369,CYP26B1,degrading,9-cis-Retinoic acid,unknown,unknown,irreversible,ReconProductionDegradation
14072,HMDB0006219,CYP26B1,degrading,13-cis-Retinoic acid,unknown,unknown,irreversible,ReconProductionDegradation
14073,HMDB0001852,CYP26B1,degrading,all-trans-Retinoic acid,unknown,unknown,irreversible,ReconProductionDegradation
14116,HMDB0000870,SLC18A2,producing,Histamine,e->c,in,irreversible,ReconProductionDegradation
14115,HMDB0000216,SLC18A2,producing,Norepinephrine,e->c,in,irreversible,ReconProductionDegradation
14105,HMDB0000538,SLC18A2,degrading,Adenosine triphosphate,c->e,out,irreversible,ReconProductionDegradation
14104,HMDB0001341,SIK3,producing,ADP,unknown,unknown,irreversible,ReconProductionDegradation
14103,HMDB0000538,SIK3,degrading,Adenosine triphosphate,unknown,unknown,irreversible,ReconProductionDegradation
14098,HMDB0001423,CHAT,producing,Coenzyme A,unknown,unknown,reversible,ReconProductionDegradation
14097,HMDB0000895,CHAT,producing,Acetylcholine,unknown,unknown,reversible,ReconProductionDegradation
43338,HMDB0001487,CYB5R1,degrading,NADH,unknown,unknown,irreversible,ReconProductionDegradation
14092,HMDB0001206,CHAT,degrading,Acetyl-CoA,unknown,unknown,reversible,ReconProductionDegradation
14091,HMDB0000097,CHAT,degrading,Choline,unknown,unknown,reversible,ReconProductionDegradation
14083,HMDB0000217,CYP26B1,producing,NADP,unknown,unknown,irreversible,ReconProductionDegradation
14081,HMDB0012456,CYP26B1,producing,"3 alpha,7 alpha,24-Trihydroxy-5beta-cholestanoyl-CoA",unknown,unknown,irreversible,ReconProductionDegradation
14080,HMDB0246480,CYP26B1,producing,All-trans 4-Keto Retinoic Acid,unknown,unknown,irreversible,ReconProductionDegradation
14078,HMDB0012789,CYP26B1,producing,4-Oxo-13-cis-retinoate,unknown,unknown,irreversible,ReconProductionDegradation
14076,HMDB0000221,CYP26B1,degrading,NADPH,unknown,unknown,irreversible,ReconProductionDegradation
14075,HMDB0006254,CYP26B1,degrading,4-Hydroxyretinoic acid,unknown,unknown,irreversible,ReconProductionDegradation
14074,HMDB0000305,CYP26B1,degrading,Vitamin A,unknown,unknown,irreversible,ReconProductionDegradation
13980,HMDB0006513,ACSL1,producing,"Docosa-4,7,10,13,16-pentaenoyl CoA",unknown,unknown,reversible,ReconProductionDegradation
13978,HMDB0060239,ACSL1,producing,Lignocericyl coenzyme A,unknown,unknown,irreversible,ReconProductionDegradation
13929,HMDB0002068,ACSL1,degrading,Erucic acid,unknown,unknown,reversible,ReconProductionDegradation
13941,HMDB0006323,ACSL1,degrading,Tetracosapentaenoic acid (24:5n-3),unknown,unknown,reversible,ReconProductionDegradation
13951,HMDB0002925,ACSL1,degrading,Dihomo-gamma-linolenic acid,unknown,unknown,reversible,ReconProductionDegradation
13950,HMDB0001043,ACSL1,degrading,Arachidonic acid,unknown,unknown,reversible,ReconProductionDegradation
13949,HMDB0002177,ACSL1,degrading,"Cis-8,11,14,17-Eicosatetraenoic acid",unknown,unknown,reversible,ReconProductionDegradation
13948,HMDB0001999,ACSL1,degrading,Eicosapentaenoic acid,unknown,unknown,reversible,ReconProductionDegradation
13947,HMDB0002226,ACSL1,degrading,Adrenic acid,unknown,unknown,reversible,ReconProductionDegradation
13946,HMDB0006528,ACSL1,degrading,Docosapentaenoic acid (22n-3),unknown,unknown,reversible,ReconProductionDegradation
13945,HMDB0002183,ACSL1,degrading,Docosahexaenoic acid,unknown,unknown,reversible,ReconProductionDegradation
13944,HMDB0002003,ACSL1,degrading,Tetracosanoic acid,unknown,unknown,irreversible,ReconProductionDegradation
13943,HMDB0002368,ACSL1,degrading,Nervonic acid,unknown,unknown,irreversible,ReconProductionDegradation
13942,HMDB0006322,ACSL1,degrading,Tetracosapentaenoic acid (24:5n-6),unknown,unknown,reversible,ReconProductionDegradation
13940,HMDB0013025,ACSL1,degrading,"6,9,12,15,18,21-Tetracosahexaenoic acid",unknown,unknown,irreversible,ReconProductionDegradation
13977,HMDB0062221,ACSL1,producing,15Z-tetracosenoyl-CoA,unknown,unknown,irreversible,ReconProductionDegradation
13939,HMDB0002356,ACSL1,degrading,Hexacosanoic acid,unknown,unknown,reversible,ReconProductionDegradation
13938,HMDB0003229,ACSL1,degrading,Palmitoleic acid,unknown,unknown,irreversible,ReconProductionDegradation
13937,HMDB0000638,ACSL1,degrading,Dodecanoic acid,unknown,unknown,reversible,ReconProductionDegradation
13936,HMDB0000910,ACSL1,degrading,Tridecanoic acid,unknown,unknown,reversible,ReconProductionDegradation
13935,HMDB0000521,ACSL1,degrading,5Z-Tetradecenoic acid,unknown,unknown,reversible,ReconProductionDegradation
13934,HMDB0031046,ACSL1,degrading,9E-Heptadecenoic acid,unknown,unknown,reversible,ReconProductionDegradation
13933,HMDB0000772,ACSL1,degrading,Nonadecanoic acid,unknown,unknown,reversible,ReconProductionDegradation
13932,HMDB0002231,ACSL1,degrading,11Z-Eicosenoic acid,unknown,unknown,reversible,ReconProductionDegradation
13931,HMDB0010378,ACSL1,degrading,"5,8,11-Eicosatrienoic acid",unknown,unknown,reversible,ReconProductionDegradation
13930,HMDB0002345,ACSL1,degrading,Heneicosanoic acid,unknown,unknown,reversible,ReconProductionDegradation
13952,HMDB0002212,ACSL1,degrading,Arachidic acid,unknown,unknown,irreversible,ReconProductionDegradation
13953,HMDB0006547,ACSL1,degrading,Stearidonic acid,unknown,unknown,reversible,ReconProductionDegradation
13954,HMDB0001388,ACSL1,degrading,alpha-Linolenic acid,unknown,unknown,reversible,ReconProductionDegradation
13955,HMDB0003073,ACSL1,degrading,gamma-Linolenic acid,unknown,unknown,reversible,ReconProductionDegradation
13976,HMDB0006516,ACSL1,producing,Tetracosatetraenoyl CoA,unknown,unknown,reversible,ReconProductionDegradation
13975,HMDB0006243,ACSL1,producing,Tetracosahexaenoyl CoA,unknown,unknown,irreversible,ReconProductionDegradation
13974,HMDB0006459,ACSL1,producing,Hexacosanoyl-CoA,unknown,unknown,reversible,ReconProductionDegradation
13973,HMDB0003571,ACSL1,producing,Lauroyl-CoA,unknown,unknown,reversible,ReconProductionDegradation
13972,HMDB0013109,ACSL1,producing,Tridecanoyl-CoA,unknown,unknown,reversible,ReconProductionDegradation
13971,HMDB0006521,ACSL1,producing,cis-Vaccenoyl CoA,unknown,unknown,reversible,ReconProductionDegradation
13970,HMDB0062217,ACSL1,producing,13Z-docosenoyl-CoA,unknown,unknown,reversible,ReconProductionDegradation
13969,HMDB0062220,ACSL1,producing,"13Z,16Z-docosadienoyl-CoA",unknown,unknown,reversible,ReconProductionDegradation
13968,HMDB0002057,ACSL1,producing,Pristanoyl-CoA,unknown,unknown,reversible,ReconProductionDegradation
13967,HMDB0001521,ACSL1,producing,Tetradecanoyl-CoA,unknown,unknown,reversible,ReconProductionDegradation
13966,HMDB0000538,ACSL1,degrading,Adenosine triphosphate,unknown,unknown,reversible,ReconProductionDegradation
13965,HMDB0001423,ACSL1,degrading,Coenzyme A,unknown,unknown,reversible,ReconProductionDegradation
13964,HMDB0000826,ACSL1,degrading,Pentadecanoic acid,unknown,unknown,reversible,ReconProductionDegradation
13963,HMDB0000220,ACSL1,degrading,Palmitic acid,unknown,unknown,irreversible,ReconProductionDegradation
13962,HMDB0002259,ACSL1,degrading,Heptadecanoic acid,unknown,unknown,reversible,ReconProductionDegradation
13961,HMDB0000827,ACSL1,degrading,Stearic acid,unknown,unknown,irreversible,ReconProductionDegradation
13960,HMDB0003231,ACSL1,degrading,Vaccenic acid,unknown,unknown,reversible,ReconProductionDegradation
13959,HMDB0000573,ACSL1,degrading,Elaidic acid,unknown,unknown,reversible,ReconProductionDegradation
13958,HMDB0000207,ACSL1,degrading,Oleic acid,unknown,unknown,irreversible,ReconProductionDegradation
13957,HMDB0000673,ACSL1,degrading,Linoleic acid,unknown,unknown,reversible,ReconProductionDegradation
13956,HMDB0006270,ACSL1,degrading,Linoelaidic acid,unknown,unknown,reversible,ReconProductionDegradation
16042,HMDB0000363,HSD3B1,degrading,17a-Hydroxypregnenolone,unknown,unknown,irreversible,ReconProductionDegradation
16043,HMDB0000253,HSD3B1,degrading,Pregnenolone,unknown,unknown,irreversible,ReconProductionDegradation
16044,HMDB0003818,HSD3B1,degrading,5-Androstenediol,unknown,unknown,reversible,ReconProductionDegradation
42247,HMDB0060332,CYP3A7,producing,"1-Nitronaphthalene-7,8-oxide",unknown,unknown,irreversible,ReconProductionDegradation
18002,HMDB0001396,FOLR1,producing,5-Methyltetrahydrofolic acid,c->e,out,reversible,ReconProductionDegradation
18001,HMDB0001533,FOLR1,producing,"5,10-Methylene-THF",c->e,out,irreversible,ReconProductionDegradation
18000,HMDB0000121,FOLR1,producing,Folic acid,c->e,out,irreversible,ReconProductionDegradation
17998,HMDB0001254,AMDHD2,producing,Glucosamine 6-phosphate,unknown,unknown,irreversible,ReconProductionDegradation
17997,HMDB0000042,AMDHD2,producing,Acetic acid,unknown,unknown,irreversible,ReconProductionDegradation
17995,HMDB0002817,AMDHD2,degrading,N-Acetylglucosamine 6-phosphate,unknown,unknown,irreversible,ReconProductionDegradation
42245,HMDB0060333,CYP3A7,producing,"1,1-Dichloroethylene epoxide",unknown,unknown,irreversible,ReconProductionDegradation
42246,HMDB0060357,CYP3A7,producing,"2,2-Dichloroacetaldehyde",unknown,unknown,irreversible,ReconProductionDegradation
42248,HMDB0060331,CYP3A7,producing,"1-Nitronaphthalene-5,6-oxide",unknown,unknown,irreversible,ReconProductionDegradation
42244,HMDB0060452,CYP3A7,producing,Chloroacetyl chloride,unknown,unknown,irreversible,ReconProductionDegradation
17988,HMDB0000902,NDUFA6,producing,NAD,unknown,unknown,irreversible,ReconProductionDegradation
17987,HMDB0059661,NDUFA6,producing,QH(2),unknown,unknown,irreversible,ReconProductionDegradation
17985,HMDB0001487,NDUFA6,degrading,NADH,unknown,unknown,irreversible,ReconProductionDegradation
17984,HMDB0002012,NDUFA6,degrading,Ubiquinone-1,unknown,unknown,irreversible,ReconProductionDegradation
42249,HMDB0062382,CYP3A7,producing,4-[(Hydroxymethyl)nitrosoamino]-1-(3-pyridinyl)-1-butanone,unknown,unknown,irreversible,ReconProductionDegradation
42250,HMDB0062223,CYP3A7,producing,"(1aalpha,2beta,3alpha,11calpha)-1a,2,3,11c-Tetrahydro-6,11-dimethylbenzo[6,7]phenanthro[3,4-b]oxirene-2,3-diol",unknown,unknown,irreversible,ReconProductionDegradation
42251,HMDB0060422,CYP3A7,producing,"7,12-Dimethylbenz[a]anthracene 5,6-oxide",unknown,unknown,irreversible,ReconProductionDegradation
42252,HMDB0060419,CYP3A7,producing,7-Hydroxymethyl-12-methylbenz[a]anthracene,unknown,unknown,irreversible,ReconProductionDegradation
42253,HMDB0060446,CYP3A7,producing,"Bromobenzene-2,3-oxide",unknown,unknown,reversible,ReconProductionDegradation
42254,HMDB0060448,CYP3A7,producing,"Bromobenzene-3,4-oxide",unknown,unknown,irreversible,ReconProductionDegradation
17506,HMDB0006464,CPT1C,producing,Elaidic carnitine,unknown,unknown,reversible,ReconProductionDegradation
42234,HMDB0042048,CYP3A7,producing,Trichloroacetic acid,unknown,unknown,irreversible,ReconProductionDegradation
42235,HMDB0000221,CYP3A7,producing,NADPH,unknown,unknown,reversible,ReconProductionDegradation
18039,HMDB0000290,B3GNT5,degrading,Uridine diphosphate-N-acetylglucosamine,unknown,unknown,irreversible,ReconProductionDegradation
18038,HMDB0000302,B3GNT5,degrading,Uridine diphosphategalactose,unknown,unknown,irreversible,ReconProductionDegradation
18037,HMDB0001341,NUAK2,producing,ADP,unknown,unknown,irreversible,ReconProductionDegradation
18036,HMDB0000538,NUAK2,degrading,Adenosine triphosphate,unknown,unknown,irreversible,ReconProductionDegradation
18032,HMDB0000045,UBE2E3,producing,Adenosine monophosphate,unknown,unknown,irreversible,ReconProductionDegradation
18030,HMDB0000538,UBE2E3,degrading,Adenosine triphosphate,unknown,unknown,irreversible,ReconProductionDegradation
42236,HMDB0004701,CYP3A7,producing,"9,10-Epoxyoctadecenoic acid",unknown,unknown,irreversible,ReconProductionDegradation
42238,HMDB0001248,CYP3A7,producing,FAD,unknown,unknown,irreversible,ReconProductionDegradation
42242,HMDB0006259,CYP3A7,producing,6beta-Hydroxytestosterone,unknown,unknown,irreversible,ReconProductionDegradation
18023,HMDB0000045,CCNB1IP1,producing,Adenosine monophosphate,unknown,unknown,irreversible,ReconProductionDegradation
18021,HMDB0000538,CCNB1IP1,degrading,Adenosine triphosphate,unknown,unknown,irreversible,ReconProductionDegradation
42239,HMDB0000338,CYP3A7,producing,2-Hydroxyestradiol,unknown,unknown,irreversible,ReconProductionDegradation
42240,HMDB0000335,CYP3A7,producing,16a-Hydroxyestrone,unknown,unknown,irreversible,ReconProductionDegradation
42241,HMDB0004244,CYP3A7,producing,15(S)-HPETE,unknown,unknown,reversible,ReconProductionDegradation
18012,HMDB0000045,UBE2H,producing,Adenosine monophosphate,unknown,unknown,irreversible,ReconProductionDegradation
18010,HMDB0000538,UBE2H,degrading,Adenosine triphosphate,unknown,unknown,irreversible,ReconProductionDegradation
42255,HMDB0250081,CYP3A7,producing,Chloral,unknown,unknown,irreversible,ReconProductionDegradation
42256,HMDB0062533,CYP3A7,producing,TCE epoxide,unknown,unknown,irreversible,ReconProductionDegradation
42257,HMDB0060301,CYP3A7,producing,"(1S,2R)-Naphthalene 1,2-oxide",unknown,unknown,irreversible,ReconProductionDegradation
17913,HMDB0060381,MGST2,producing,"3,4-Dihydro-3-hydroxy-4-S-glutathionyl bromobenzene",unknown,unknown,irreversible,ReconProductionDegradation
17923,HMDB0013057,MGST2,producing,S-(9-deoxy-delta12-PGD2)-glutathione,unknown,unknown,reversible,ReconProductionDegradation
17922,HMDB0013063,MGST2,producing,S-(PGJ2)-glutathione,unknown,unknown,reversible,ReconProductionDegradation
17921,HMDB0013058,MGST2,producing,"S-(9-deoxy-delta9,12-PGD2)-glutathione",unknown,unknown,reversible,ReconProductionDegradation
17920,HMDB0013062,MGST2,producing,S-(PGA2)-glutathione,unknown,unknown,reversible,ReconProductionDegradation
17919,HMDB0060431,MGST2,producing,"Aflatoxin B1exo-8,9-epoxide-GSH",unknown,unknown,irreversible,ReconProductionDegradation
17918,HMDB0060504,MGST2,producing,"S-(1,2-Dichlorovinyl)glutathione",unknown,unknown,irreversible,ReconProductionDegradation
17917,HMDB0029225,MGST2,producing,Coutaric acid,unknown,unknown,irreversible,ReconProductionDegradation
17916,HMDB0060342,MGST2,producing,2-(S-Glutathionyl)acetyl chloride,unknown,unknown,irreversible,ReconProductionDegradation
17915,HMDB0060343,MGST2,producing,2-(S-Glutathionyl)acetyl glutathione,unknown,unknown,irreversible,ReconProductionDegradation
17914,HMDB0060505,MGST2,producing,S-(2-Chloroacetyl)glutathione,unknown,unknown,irreversible,ReconProductionDegradation
17912,HMDB0060358,MGST2,producing,"2,3-Dihydro-2-S-glutathionyl-3-hydroxy bromobenzene",unknown,unknown,irreversible,ReconProductionDegradation
42258,HMDB0062439,CYP3A7,producing,"9-Hydroxybenzo[a]pyrene-4,5-oxide",unknown,unknown,irreversible,ReconProductionDegradation
17911,HMDB0060327,MGST2,producing,"1-Nitro-5-hydroxy-6-glutathionyl-5,6-dihydronaphthalene",unknown,unknown,irreversible,ReconProductionDegradation
17910,HMDB0060326,MGST2,producing,"1-Nitro-5-glutathionyl-6-hydroxy-5,6-dihydronaphthalene",unknown,unknown,irreversible,ReconProductionDegradation
17909,HMDB0060330,MGST2,producing,"1-Nitro-7-hydroxy-8-glutathionyl-7,8-dihydronaphthalene",unknown,unknown,irreversible,ReconProductionDegradation
17908,HMDB0060329,MGST2,producing,"1-Nitro-7-glutathionyl-8-hydroxy-7,8-dihydronaphthalene",unknown,unknown,irreversible,ReconProductionDegradation
17907,HMDB0060506,MGST2,producing,"S-(2,2-Dichloro-1-hydroxy)ethyl glutathione",unknown,unknown,irreversible,ReconProductionDegradation
17906,HMDB0060507,MGST2,producing,S-(Formylmethyl)glutathione,unknown,unknown,irreversible,ReconProductionDegradation
17905,HMDB0060438,MGST2,degrading,"Benzo[a]pyrene-7,8-diol",unknown,unknown,irreversible,ReconProductionDegradation
