HMDB,MetName,Symbol,Receptor,DB,CellLoc,BSLoc,TissueLoc,Mode,comb,a.database,a.experiment,a.textmining,a.prediction
"""HMDB0015282""","""Desipramine""","""CHRM2""","""gpcr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]",null,"""inhibition""",940,712,0,0,800
"""HMDB0015069""","""Maprotiline""","""CHRM2""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]",null,"""inhibition""",828,166,0,0,800
"""HMDB0014680""","""Nortriptyline""","""CHRM2""","""gpcr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]","[""Kidney"", ""Liver""]","""inhibition""",948,749,0,0,800
"""HMDB0015304""","""Orphenadrine""","""CHRM2""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]",null,"""inhibition""",732,670,0,0,211
"""HMDB0014620""","""Chlorpromazine""","""CHRM2""","""gpcr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]",null,"""binding""",925,638,0,0,800
"""HMDB0000067""","""Cholesterol""","""RORA""","""nhr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Golgi apparatus"", ""Lysosome"", ""Membrane"", ""Mitochondria""]","[""Bile"", ""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Urine""]","[""All Tissues"", ""Placenta"", ""Prostate""]","""binding""",814,800,0,101,0
"""HMDB0000827""","""Stearic acid""","""RORA""","""nhr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Sweat"", ""Urine""]","[""Adipose Tissue"", ""Brain"", ""Epidermis"", ""Erythrocyte"", ""Fibroblasts"", ""Intestine"", ""Neuron"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle""]","""binding""",724,724,0,0,0
"""HMDB0001496""","""7alpha-Hydroxycholesterol""","""RORA""","""nhr""","""StitchMetaboliteReceptor""","[""Endoplasmic reticulum"", ""Extracellular"", ""Membrane""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces""]","[""Placenta""]","""binding""",635,635,0,0,0
"""HMDB0001852""","""all-trans-Retinoic acid""","""RORA""","""nhr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Membrane"", ""Nucleus""]","[""Blood"", ""Urine""]","[""Adipose Tissue"", ""Adrenal Cortex"", ""Adrenal Gland"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Liver"", ""Lung"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Spleen"", ""Testis""]","""binding""",816,724,0,260,150
"""HMDB0006119""","""7beta-Hydroxycholesterol""","""RORA""","""nhr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Membrane""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces""]","[""Placenta""]","""binding""",635,635,0,0,0
"""HMDB0000653""","""Cholesterol sulfate""","""RORA""","""nhr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]","[""Adrenal Gland"", ""Epidermis"", ""Platelet""]","""inhibition""",962,800,0,117,800
"""HMDB0000067""","""Cholesterol""","""RORA""","""nhr""","""CellphoneMetaboliteReceptor""","[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Golgi apparatus"", ""Lysosome"", ""Membrane"", ""Mitochondria""]","[""Bile"", ""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Urine""]","[""All Tissues"", ""Placenta"", ""Prostate""]","""activation""",null,null,null,null,null
"""HMDB0000574""","""L-Cysteine""","""IL6R""","""catalytic_receptor""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Extracellular"", ""Mitochondria""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Sweat"", ""Urine""]","[""Adrenal Cortex"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Liver"", ""Neuron"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle"", ""Spleen"", ""Testis"", ""Thyroid Gland""]","""binding""",800,800,0,0,0
"""HMDB0000169""","""D-Mannose""","""IL6R""","""catalytic_receptor""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Golgi apparatus"", ""Lysosome""]","[""Blood"", ""Breast Milk"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Urine""]","[""Adrenal Medulla"", ""Bladder"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Prostate"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","""binding""",800,800,0,0,0
"""HMDB0001448""","""Sulfate""","""IL6R""","""catalytic_receptor""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Lysosome"", ""Mitochondria""]","[""Blood"", ""Feces"", ""Saliva"", ""Sweat"", ""Urine""]","[""Placenta""]","""binding""",800,800,0,0,0
"""HMDB0000273""","""Thymidine""","""SSTR4""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Lysosome"", ""Mitochondria""]","[""Amniotic Fluid"", ""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Urine""]","[""Adipose Tissue"", ""Adrenal Gland"", ""Bladder"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle"", ""Spleen"", ""Testis"", ""Thyroid Gland""]","""binding""",205,205,0,0,0
"""HMDB0015282""","""Desipramine""","""SSTR4""","""gpcr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]",null,"""binding""",280,280,0,0,0
"""HMDB0014328""","""Amphetamine""","""SSTR4""","""gpcr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]","[""Kidney"", ""Liver""]","""binding""",275,275,0,0,0
"""HMDB0014323""","""Valsartan""","""SSTR4""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]",null,"""activation""",417,259,0,236,0
"""HMDB0000990""","""Acetaldehyde""","""SSTR4""","""gpcr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Mitochondria"", ""Peroxisome""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Sweat"", ""Urine""]","[""Adrenal Medulla"", ""Brain"", ""Epidermis"", ""Erythrocyte"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Liver"", ""Neuron"", ""Ovary"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Skeletal Muscle"", ""Testis"", ""Thyroid Gland""]","""binding""",322,322,0,0,0
"""HMDB0013657""","""2-Arachidonyl Glycerol ether""","""SSTR4""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Membrane""]",null,null,"""binding""",205,205,0,0,0
"""HMDB0000895""","""Acetylcholine""","""SSTR4""","""gpcr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Extracellular"", ""Nucleus""]","[""Cerebrospinal Fluid (CSF)"", ""Saliva""]","[""Adipose Tissue"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Lung"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","""activation""",921,0,0,236,900
"""HMDB0000975""","""Trehalose""","""SSTR4""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular""]","[""Feces"", ""Urine""]","[""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Platelet"", ""Skeletal Muscle""]","""binding""",322,322,0,0,0
"""HMDB0040987""","""(-)-Morphine""","""SSTR4""","""gpcr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Extracellular""]",null,null,"""binding""",382,332,101,0,0
"""HMDB0014680""","""Nortriptyline""","""SSTR4""","""gpcr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]","[""Kidney"", ""Liver""]","""binding""",286,286,0,0,0
"""HMDB0015070""","""Oxymetazoline""","""SSTR4""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]",null,"""binding""",270,270,0,0,0
"""HMDB0000870""","""Histamine""","""SSTR4""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Urine""]","[""Adipose Tissue"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","""activation""",935,204,0,236,900
"""HMDB0014600""","""Prazosin""","""SSTR4""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]",null,"""binding""",366,366,0,0,0
"""HMDB0000220""","""Palmitic acid""","""SSTR4""","""gpcr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Membrane"", ""Peroxisome""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Sweat"", ""Urine""]","[""Adipose Tissue"", ""Bladder"", ""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle""]","""activation""",467,322,0,236,0
"""HMDB0000050""","""Adenosine""","""SSTR4""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Lysosome"", ""Mitochondria""]","[""Blood"", ""Breast Milk"", ""Cellular Cytoplasm"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Urine""]","[""All Tissues"", ""Placenta""]","""binding""",921,237,0,0,900
"""HMDB0035848""","""Monoacetoxyscirpenol""","""SSTR4""","""gpcr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Extracellular""]",null,null,"""binding""",237,237,0,0,0
"""HMDB0000259""","""Serotonin""","""SSTR4""","""gpcr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Extracellular""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Urine""]","[""Adipose Tissue"", ""Adrenal Cortex"", ""Adrenal Gland"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle""]","""binding""",928,310,0,0,900
"""HMDB0000073""","""Dopamine""","""SSTR4""","""gpcr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Extracellular""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Urine""]","[""Adipose Tissue"", ""Adrenal Cortex"", ""Adrenal Gland"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","""binding""",931,274,0,116,900
"""HMDB0000123""","""Glycine""","""SSTR4""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Lysosome"", ""Mitochondria"", ""Peroxisome""]","[""Bile"", ""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Sweat"", ""Urine""]","[""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Spleen"", ""Thyroid Gland""]","""binding""",345,283,0,113,0
"""HMDB0014794""","""Trazodone""","""SSTR4""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]",null,"""binding""",209,209,0,0,0
"""HMDB0014844""","""Tamsulosin""","""SSTR4""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]",null,"""binding""",325,325,0,0,0
"""HMDB0031404""","""Cyclohexylamine""","""SSTR4""","""gpcr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Extracellular""]","[""Blood"", ""Feces""]",null,"""binding""",307,307,0,0,0
"""HMDB0015559""","""Thioproperazine""","""SSTR4""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]",null,"""binding""",275,275,0,0,0
"""HMDB0000169""","""D-Mannose""","""SSTR4""","""gpcr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Golgi apparatus"", ""Lysosome""]","[""Blood"", ""Breast Milk"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Urine""]","[""Adrenal Medulla"", ""Bladder"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Prostate"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","""binding""",322,322,0,0,0
"""HMDB0000216""","""Norepinephrine""","""SSTR4""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Urine""]","[""Adipose Tissue"", ""Adrenal Cortex"", ""Adrenal Gland"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Heart"", ""Intestine"", ""Kidney"", ""Leukocyte"", ""Neuron"", ""Ovary"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle"", ""Testis""]","""binding""",928,249,0,102,900
"""HMDB0032477""","""Polyoxyethylene 40 monostearate""","""SSTR4""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Membrane""]",null,null,"""binding""",287,287,0,0,0
"""HMDB0008923""","""PE(16:0/16:0)""","""SSTR4""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Membrane""]","[""Feces""]","[""All Tissues"", ""Brain""]","""binding""",322,322,0,0,0
"""HMDB0000674""","""PA(16:0/16:0)""","""SSTR4""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Membrane""]","[""Blood""]",null,"""binding""",322,322,0,0,0
"""HMDB0036565""","""beta-Ionone""","""SSTR4""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Membrane""]","[""Saliva""]",null,"""binding""",322,322,0,0,0
"""HMDB0001358""","""Retinal""","""SSTR4""","""gpcr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]","[""Adrenal Cortex"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Lung"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","""binding""",322,322,0,0,0
"""HMDB0014940""","""Alfentanil""","""SSTR4""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]",null,"""binding""",273,273,0,0,0
"""HMDB0001217""","""4alpha-Methylzymosterol""","""SSTR4""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Membrane""]",null,null,"""binding""",928,309,0,0,900
"""HMDB0001442""","""Prostaglandin E1""","""SSTR4""","""gpcr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Blood""]","[""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Liver"", ""Neuron"", ""Placenta"", ""Platelet""]","""binding""",271,271,0,0,0
"""HMDB0004080""","""Anandamide""","""SSTR4""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Membrane""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Urine""]",null,"""binding""",211,211,0,0,0
"""HMDB0004666""","""MG(0:0/20:4(5Z,8Z,11Z,14Z)/0:0)""","""SSTR4""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Membrane""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Urine""]","[""All Tissues"", ""Placenta""]","""binding""",910,126,0,0,900
"""HMDB0014466""","""Amitriptyline""","""SSTR4""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]",null,"""binding""",286,286,0,0,0
"""HMDB0014683""","""Amoxapine""","""SSTR4""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]",null,"""binding""",214,214,0,0,0
"""HMDB0015267""","""Carvedilol""","""SSTR4""","""gpcr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]",null,"""binding""",274,274,0,0,0
"""HMDB0014620""","""Chlorpromazine""","""SSTR4""","""gpcr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]",null,"""binding""",267,267,0,0,0
"""HMDB0014677""","""Ciprofloxacin""","""SSTR4""","""gpcr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]",null,"""binding""",282,282,0,0,0
"""HMDB0015477""","""Clenbuterol""","""SSTR4""","""gpcr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]",null,"""binding""",276,276,0,0,0
"""HMDB0015364""","""Dexamethasone""","""NR2F6""","""nhr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]",null,"""binding""",300,300,0,0,0
"""HMDB0014998""","""Prednisolone""","""NR2F6""","""nhr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]","[""Kidney"", ""Liver""]","""binding""",306,306,0,0,0
"""HMDB0000151""","""Estradiol""","""NR2F6""","""nhr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Membrane""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Saliva"", ""Urine""]","[""Adipose Tissue"", ""Adrenal Cortex"", ""Adrenal Gland"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Liver"", ""Neuron"", ""Ovary"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","""binding""",397,397,0,0,0
"""HMDB0014565""","""Spironolactone""","""NR2F6""","""nhr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]",null,"""binding""",227,227,0,0,0
"""HMDB0000265""","""Liothyronine""","""NR2F6""","""nhr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Blood"", ""Saliva"", ""Urine""]","[""Adipose Tissue"", ""Adrenal Gland"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Neuron"", ""Placenta"", ""Platelet"", ""Skeletal Muscle"", ""Testis"", ""Thyroid Gland""]","""binding""",335,335,0,0,0
"""HMDB0001926""","""17a-Ethynylestradiol""","""NR2F6""","""nhr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]","[""Adipose Tissue"", ""Adrenal Cortex"", ""Adrenal Gland"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Liver"", ""Neuron"", ""Ovary"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle"", ""Spleen"", ""Testis"", ""Thyroid Gland""]","""binding""",230,230,0,0,0
"""HMDB0001830""","""Progesterone""","""NR2F6""","""nhr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Membrane""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Urine""]","[""Adipose Tissue"", ""Fibroblasts"", ""Neuron"", ""Ovary"", ""Placenta"", ""Platelet"", ""Prostate"", ""Testis""]","""binding""",486,441,0,106,0
"""HMDB0015489""","""Testosterone Propionate""","""NR2F6""","""nhr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]",null,"""binding""",310,310,0,0,0
"""HMDB0015655""","""Methyltestosterone""","""NR2F6""","""nhr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]",null,"""binding""",352,352,0,0,0
"""HMDB0000234""","""Testosterone""","""NR2F6""","""nhr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Membrane""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Saliva"", ""Urine""]","[""Brain"", ""Ovary"", ""Semen"", ""Skeletal Muscle"", ""Testis""]","""binding""",446,369,0,148,0
"""HMDB0000053""","""Androstenedione""","""NR2F6""","""nhr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Membrane""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Urine""]","[""Adipose Tissue"", ""Adrenal Cortex"", ""Adrenal Gland"", ""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Liver"", ""Ovary"", ""Placenta"", ""Prostate"", ""Skeletal Muscle"", ""Testis""]","""binding""",284,284,0,0,0
"""HMDB0014855""","""Norethindrone""","""NR2F6""","""nhr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]",null,"""binding""",446,446,0,0,0
"""HMDB0014961""","""Ethynodiol Diacetate""","""NR2F6""","""nhr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]",null,"""binding""",351,351,0,0,0
"""HMDB0015181""","""Fluocinonide""","""NR2F6""","""nhr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]",null,"""binding""",437,437,0,0,0
"""HMDB0014469""","""Fluorometholone""","""NR2F6""","""nhr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]",null,"""binding""",249,249,0,0,0
"""HMDB0000628""","""Epitestosterone""","""NR2F6""","""nhr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Membrane""]","[""Blood""]","[""Adrenal Gland"", ""Ovary"", ""Prostate"", ""Testis""]","""binding""",291,291,0,0,0
"""HMDB0002961""","""Dihydrotestosterone""","""NR2F6""","""nhr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Membrane""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Urine""]","[""Adipose Tissue"", ""Adrenal Cortex"", ""Adrenal Gland"", ""Epidermis"", ""Fibroblasts"", ""Hair"", ""Kidney"", ""Liver"", ""Neuron"", ""Ovary"", ""Prostate"", ""Skeletal Muscle"", ""Testis"", ""Thyroid Gland""]","""binding""",436,436,0,0,0
"""HMDB0006770""","""5b-Dihydrotestosterone""","""NR2F6""","""nhr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Membrane""]",null,null,"""binding""",212,212,0,0,0
"""HMDB0014984""","""Flurandrenolide""","""NR2F6""","""nhr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]",null,"""binding""",346,346,0,0,0
"""HMDB0003116""","""Stanozolol""","""NR2F6""","""nhr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]",null,"""binding""",301,301,0,0,0
"""HMDB0002835""","""Danazol""","""NR2F6""","""nhr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Membrane""]",null,null,"""binding""",347,347,0,0,0
"""HMDB0014972""","""Mifepristone""","""NR2F6""","""nhr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]",null,"""binding""",509,509,0,0,0
"""HMDB0014326""","""Flunisolide""","""NR2F6""","""nhr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Blood"", ""Urine""]",null,"""binding""",294,294,0,0,0
"""HMDB0000686""","""Isoursodeoxycholic acid""","""NR2F6""","""nhr""","""StitchMetaboliteReceptor""","[""Extracellular""]","[""Blood"", ""Feces"", ""Urine""]","[""Gall Bladder"", ""Intestine"", ""Kidney"", ""Liver""]","""binding""",393,393,0,0,0
"""HMDB0000037""","""Aldosterone""","""NR2F6""","""nhr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Extracellular"", ""Membrane"", ""Mitochondria""]","[""Blood"", ""Saliva"", ""Urine""]","[""Adipose Tissue"", ""Adrenal Cortex"", ""Adrenal Gland"", ""Adrenal Medulla"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Lung"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Skeletal Muscle"", ""Testis"", ""Thyroid Gland""]","""binding""",464,274,141,189,0
"""HMDB0000374""","""17-Hydroxyprogesterone""","""NR2F6""","""nhr""","""StitchMetaboliteReceptor""","[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Membrane""]","[""Blood"", ""Saliva"", ""Urine""]","[""Adipose Tissue"", ""Adrenal Cortex"", ""Adrenal Gland"", ""Testis""]","""binding""",443,443,0,0,0
"""HMDB0000619""","""Cholic acid""","""NR2F6""","""nhr""","""StitchMetaboliteReceptor""","[""Extracellular""]","[""Bile"", ""Blood"", ""Feces"", ""Urine""]","[""Intestine"", ""Kidney"", ""Liver"", ""Placenta"", ""Platelet"", ""Spleen""]","""binding""",388,388,0,0,0
"""HMDB0000761""","""Lithocholic acid""","""NR2F6""","""nhr""","""StitchMetaboliteReceptor""","[""Extracellular""]","[""Bile"", ""Blood"", ""Feces"", ""Urine""]","[""Intestine"", ""Liver""]","""binding""",518,518,0,0,0
"""HMDB0002725""","""Nandrolone""","""NR2F6""","""nhr""","""StitchMetaboliteReceptor""","[""Extracellular"", ""Membrane""]","[""Blood""]","[""Adrenal Gland"", ""Epidermis"", ""Hair"", ""Skeletal Muscle"", ""Testis""]","""binding""",363,363,0,0,0
